[2018-04-08 13:33:27] order.automarkup.INFO: order.automarkup {"订单号":"2018040811431000000002","原因":"91代练平台:您填写的金额有误，请重新输入","结果":"自动加价失败!"} []
[2018-04-08 13:33:28] order.automarkup.INFO: order.automarkup {"订单号":"2018040812045700000003","原因":"91代练平台:您填写的金额有误，请重新输入","结果":"自动加价失败!"} []
[2018-04-08 13:34:20] order.automarkup.INFO: order.automarkup {"订单号":"2018040811431000000002","加价金额":"0.10","时间":"2018-04-08 13:34:20","结果":"成功!"} []
[2018-04-08 13:34:20] order.automarkup.INFO: order.automarkup {"订单号":"2018040812045700000003","加价金额":"0.10","时间":"2018-04-08 13:34:20","结果":"成功!"} []
[2018-04-08 13:43:16] order.automarkup.INFO: order.automarkup {"订单号":"2018040811431000000002","加价金额":"0.10","时间":"2018-04-08 13:43:16","结果":"成功!"} []
[2018-04-08 13:43:16] order.automarkup.INFO: order.automarkup {"订单号":"2018040812045700000003","加价金额":"0.10","时间":"2018-04-08 13:43:16","结果":"成功!"} []
[2018-04-08 13:43:52] order.automarkup.INFO: order.automarkup {"订单号":"2018040811431000000002","加价金额":"0.09","时间":"2018-04-08 13:43:52","结果":"成功!"} []
[2018-04-08 13:43:52] order.automarkup.INFO: order.automarkup {"订单号":"2018040812045700000003","加价金额":"0.09","时间":"2018-04-08 13:43:52","结果":"成功!"} []
[2018-04-08 13:45:00] order.automarkup.INFO: order.automarkup {"订单号":"2018040811431000000002","加价金额":"0.09","时间":"2018-04-08 13:45:00","结果":"成功!"} []
[2018-04-08 13:45:00] order.automarkup.INFO: order.automarkup {"订单号":"2018040812045700000003","加价金额":"0.09","时间":"2018-04-08 13:45:00","结果":"成功!"} []
[2018-04-08 13:45:16] order.automarkup.INFO: order.automarkup {"订单号":"2018040811431000000002","加价金额":"0.09","时间":"2018-04-08 13:45:15","结果":"成功!"} []
[2018-04-08 13:45:16] order.automarkup.INFO: order.automarkup {"订单号":"2018040812045700000003","加价金额":"0.09","时间":"2018-04-08 13:45:15","结果":"成功!"} []
